Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
7bdrm Duplex in Apple Estate for sale,638.0,7,7,Unfurnished,"Amuwo-Odofin, Apple Junction",Apple Junction,Lagos State,False,650000000.0
"2bdrm Apartment in Mobile Road, Ado / Ajah for sale",450.0,2,2,Unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,Diamond,90000000.0
3bdrm Apartment in Ikate for sale,250.0,3,3,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,Diamond,260000000.0
3bdrm Apartment in Port-Harcourt for sale,500.0,3,4,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,500000000.0
5bdrm Apartment in Surulere for sale,450.0,5,5,Unfurnished,"Lagos State, Surulere",Surulere,Lagos State,False,180000000.0
"4bdrm Duplex in Estate, Rukpokwu for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,170000000.0
"Furnished 4bdrm Bungalow in Fashola Estate, Igbogbo for sale",600.0,4,4,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos State,Diamond,50000000.0
5bdrm Duplex in Ikota for sale,600.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,450000000.0
5bdrm Duplex in Ikota for sale,600.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,300000000.0
4bdrm Duplex in Port-Harcourt for sale,465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,330000000.0
"Furnished 3bdrm Bungalow in Ariyibe Street Last, Ibadan for sale",1200.0,3,3,Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,70000000.0
"4bdrm Duplex in Ajah, Lekki for sale",450.0,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,190000000.0
"5bdrm Duplex in Resident Estate, Lekki Phase 1 for sale",420.0,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,850000000.0
4bdrm Duplex in Ogba Ikeja for sale,350.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,290000000.0
4bdrm Duplex in Ikeja Gra for sale,700.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,850000000.0
5bdrm Duplex in Magodo for sale,350.0,5,5,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,450000000.0
"Furnished 4bdrm Duplex in Inside An, Abule Egba for sale",600.0,4,4,Furnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,180000000.0
4bdrm Duplex in Surulere for sale,400.0,4,4,Unfurnished,"Lagos State, Surulere",Surulere,Lagos State,False,270000000.0
2bdrm Apartment in Lekki for sale,650.0,2,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,270000000.0
"4bdrm Duplex in College Road, Ogba for sale",638.0,4,4,Semi Furnished,"Lagos State, Ogba",Ogba,Lagos State,False,400000000.0
5bdrm Duplex in Chevron for sale,600.0,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,350000000.0
2bdrm Apartment in Katampe for sale,1500.0,2,3,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),False,135000000.0
"4bdrm Duplex in Ajah, Lekki for sale",450.0,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,220000000.0
5bdrm Duplex in Adeniyi Jones for sale,500.0,5,5,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,600000000.0
"5bdrm House in Opic Estate, Isheri North for sale",638.0,5,5,Unfurnished,"Ojodu, Isheri North",Isheri North,Lagos State,False,320000000.0
4bdrm Duplex in Magodo for sale,630.0,4,4,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,450000000.0
4bdrm Duplex in Ogba for sale,635.0,4,4,Unfurnished,"Ogba, Ogba Industrial Estate",Ogba Industrial Estate,Lagos State,False,260000000.0
3bdrm Block of Flats in Opebi for sale,635.0,3,3,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,False,300000000.0
"4bdrm Duplex in New Road, Obio-Akpor for sale",350.0,4,4,Unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,Diamond,220000000.0
"4bdrm Bungalow in Omachi Estate, Port-Harcourt for sale",300.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,90000000.0
"5bdrm Duplex in Cedarwood Estate, Port-Harcourt for sale",1000.0,5,6,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,650000000.0
"7bdrm Duplex in Gwarimpa Extension, Port-Harcourt for sale",900.0,7,8,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,460000000.0
Furnished 4bdrm Duplex in Ikota for sale,500.0,4,4,Furnished,"Lekki, Ikota",Ikota,Lagos State,False,110000000.0
"4bdrm Duplex in Thomas Estate, Ajah for sale",640.0,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,120000000.0
"5bdrm Duplex in Phase 1, Magodo for sale",600.0,5,5,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,350000000.0
"5bdrm Duplex in Kola Estate, Ifako-Ijaiye for sale",680.0,5,5,Unfurnished,"Lagos State, Ifako-Ijaiye",Ifako-Ijaiye,Lagos State,False,190000000.0
"4bdrm Apartment in Ivory Height, Eneka for sale",300.0,4,4,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,250000000.0
2bdrm Apartment in Ologolo for sale,200.0,2,2,Semi Furnished,"Lekki, Ologolo",Ologolo,Lagos State,VIP Gold,150000000.0
5bdrm Duplex in Ajah for sale,500.0,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,Enterprise,250000000.0
"3bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",300.0,3,4,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,150000000.0
7bdrm Duplex in Port-Harcourt for sale,700.0,7,8,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,250000000.0
4bdrm Duplex in Magodo Phase 1 for sale,634.0,4,4,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,310000000.0
4bdrm Duplex in Magodo Phase 2 for sale,635.0,4,4,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,False,520000000.0
4bdrm Duplex in Victoria Island for sale,600.0,4,4,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,Enterprise,30000000.0
"2bdrm Block of Flats in Radio Estate, Port for sale",600.0,2,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,160000000.0
Furnished 3bdrm Block of Flats in Ketu for sale,424.0,3,3,Furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Lagos State,Basic,300000000.0
"3bdrm Apartment in Emmiers Estate, Off Lekki-Epe Expressway for sale",250.0,3,3,Semi Furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,Diamond,110000000.0
5bdrm Duplex in Ibeju for sale,600.0,5,5,Unfurnished,"Lagos State, Ibeju",Ibeju,Lagos State,Enterprise,400000000.0
4bdrm Bungalow in Port-Harcourt for sale,465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,70000000.0
"4bdrm Duplex in Ivory Height, Port-Harcourt for sale",310.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,200000000.0
"6bdrm Duplex in Ikate, Lekki for sale",640.0,6,6,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,450000000.0
4bdrm Duplex in Maryland for sale,600.0,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,280000000.0
"3bdrm Duplex in Nil, Lekki Phase 1 for sale",640.0,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,410000000.0
3bdrm Bungalow in Elerangbe for sale,300.0,3,3,Semi Furnished,"Ibeju, Elerangbe",Elerangbe,Lagos State,Diamond,85000000.0
3bdrm Duplex in Ajah for sale,600.0,3,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,Enterprise,87000000.0
5bdrm Duplex in Port-Harcourt for sale,500.0,5,6,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,350000000.0
"Furnished 5bdrm Duplex in Naf Harmony, Port-Harcourt for sale",550.0,5,6,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,950000000.0
Furnished 5bdrm Duplex in Chevron Lekki for sale,500.0,5,5,Furnished,"Lekki, Chevron",Chevron,Lagos State,False,350000000.0
2bdrm Apartment in Ilasan for sale,200.0,2,2,Semi Furnished,"Lekki, Ilasan",Ilasan,Lagos State,VIP Gold,140000000.0
"3bdrm Bungalow in Gbekuba, Oluyole for sale",720.0,3,5,Unfurnished,"Oyo State, Oluyole",Oluyole,Oyo State,Diamond,35000000.0
2bdrm Apartment in Ikate for sale,1000.0,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,Diamond,160000000.0
5bdrm Duplex in Ikate for sale,300.0,5,5,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,980000000.0
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,270000000.0
2bdrm Apartment in Magodo for sale,150.0,2,2,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,100000000.0
4bdrm Duplex in Magodo Phase1 for sale,400.0,4,4,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,180000000.0
4bdrm Duplex in Oregun Ikeja for sale,450.0,4,4,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,290000000.0
"5bdrm Duplex in Opic, Isheri North for sale",430.0,5,5,Unfurnished,"Ojodu, Isheri North",Isheri North,Lagos State,False,260000000.0
5bdrm Duplex in Ogudu Gra Phase 1 for sale,635.0,5,5,Unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,570000000.0
"5bdrm Duplex in Shell Cooperative, Eneka for sale",500.0,5,5,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,300000000.0
4bdrm Duplex in Ibeju for sale,600.0,4,4,Unfurnished,"Lagos State, Ibeju",Ibeju,Lagos State,Enterprise,130000000.0
"3bdrm Bungalow in Talazo Gbekuba, Ibadan for sale",720.0,3,4,Semi Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,35000000.0
"6bdrm Duplex in Peter Odili, Okuru for sale",465.0,6,6,Semi Furnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,VIP,480000000.0
"4bdrm Duplex in Woji Estate, Port-Harcourt for sale",465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,250000000.0
"Furnished 5bdrm Duplex in Centenary Garden, Port-Harcourt for sale",465.0,5,6,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,600000000.0
5bdrm Bungalow in Port-Harcourt for sale,500.0,5,6,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,70000000.0
"5bdrm Duplex in Pearl Garden Estate, Port-Harcourt for sale",450.0,5,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,350000000.0
"3bdrm Bungalow in Nddc, Estate, Port-Harcourt for sale",465.0,3,4,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,85000000.0
Furnished 3bdrm Apartment in Abeokuta for sale,500.0,3,3,Furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,False,35000000.0
"3bdrm Bungalow in Scc Road, Ushafa for sale",400.0,3,4,Unfurnished,"Bwari, Ushafa",Ushafa,Abuja (FCT),False,90000000.0
4bdrm Duplex in Magodo Phase 2 for sale,550.0,4,4,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,False,560000000.0
"Furnished 4bdrm Duplex in Gated Close And, Igando / Ikotun/Igando",650.0,4,4,Furnished,"Ikotun/Igando, Igando / Ikotun/Igando",Igando / Ikotun/Igando,Lagos State,False,450000000.0
3bdrm Apartment in Yaba for sale,635.0,3,3,Unfurnished,"Lagos State, Yaba",Yaba,Lagos State,False,150000000.0
"5bdrm Duplex in Alimosho, Egbeda for sale",500.0,5,6,Unfurnished,"Oyo State, Egbeda",Egbeda,Oyo State,False,250000000.0
5bdrm Duplex in Chevron for sale,400.0,5,5,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,VIP Gold,680000000.0
2bdrm Apartment in Ikate for sale,200.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,320000000.0
2bdrm Apartment in Ikate for sale,200.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,250000000.0
5bdrm Duplex in Ikota for sale,400.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,270000000.0
2bdrm Duplex in Port-Harcourt for sale,700.0,2,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
"4bdrm Duplex in Akwaka Estate, Port-Harcourt for sale",300.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,190000000.0
2bdrm Apartment in Victoria Island for sale,300.0,2,2,Semi Furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,VIP Gold,550000000.0
3bdrm Apartment in Ikate for sale,300.0,3,3,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,100000000.0
4bdrm Duplex in Adeniyi Jones for sale,550.0,4,4,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,420000000.0
4bdrm Duplex in Ifako Ogba for sale,520.0,4,4,Unfurnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,False,200000000.0
4bdrm Duplex in Dideolu Estate Ogba for sale,550.0,4,4,Unfurnished,"Lagos State, Ogba",Ogba,Lagos State,False,185000000.0
5bdrm Duplex in Opebi for sale,635.0,5,5,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,False,330000000.0
4bdrm Apartment in Ologolo Lekki With for sale,500.0,4,4,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos State,Diamond,200000000.0
"4bdrm Duplex in Capital City Estate, Rukpokwu for sale",550.0,4,4,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,300000000.0
"Furnished 3bdrm Bungalow in Ofin Estate, Ikorodu for sale",600.0,3,3,Furnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,Diamond,23000000.0
5bdrm Duplex in Osapa london for sale,400.0,5,5,Semi Furnished,"Lekki, Osapa london",Osapa london,Lagos State,VIP Gold,550000000.0
"4bdrm Duplex in Radio Estate, Port-Harcourt for sale",500.0,4,5,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,300000000.0
2bdrm Block of Flats in Port-Harcourt for sale,930.0,2,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,320000000.0
4bdrm Duplex in Sangotedo for sale,400.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,Enterprise,100000000.0
4bdrm Duplex in Chevron for sale,400.0,4,4,Semi Furnished,"Lekki, Chevron",Chevron,Lagos State,VIP Gold,290000000.0
2bdrm Block of Flats in Abaranje for sale,632.0,2,2,Unfurnished,"Ikotun/Igando, Abaranje",Abaranje,Lagos State,False,100000000.0
"5bdrm Duplex in Ajah, Lekki for sale",400.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,275000000.0
4bdrm Duplex in Maryland for sale,530.0,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,320000000.0
3bdrm Block of Flats in Ikeja Toyin Street for sale,635.0,3,3,Unfurnished,"Ikeja, Toyin Street",Toyin Street,Lagos State,False,750000000.0
2bdrm Apartment in Victoria Island for sale,300.0,2,2,Semi Furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,VIP Gold,420000000.0
12bdrm Duplex in Akala Express for sale,600.0,12,12,Unfurnished,"Ibadan, Akala Express",Akala Express,Oyo State,VIP,85000000.0
2bdrm Apartment in Victoria Island for sale,300.0,2,2,Semi Furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,VIP Gold,500000000.0
"Furnished 4bdrm Duplex in Golf Reserve, Port-Harcourt for sale",500.0,4,5,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,300000000.0
4bdrm Duplex in Cele Egbe Agodo for sale,150.0,4,5,Semi Furnished,"Isolo, Cele",Cele,Lagos State,Enterprise,200000000.0
4bdrm Duplex in Ojodu for sale,500.0,4,4,Unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,280000000.0
5bdrm Duplex in Magodo Gra Phase 1 for sale,500.0,5,5,Unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,500000000.0
Furnished 2bdrm Bungalow in Sagamu for sale,600.0,2,4,Furnished,"Ogun State, Sagamu",Sagamu,Ogun State,VIP,45000000.0
4bdrm Duplex in Sangotedo for sale,600.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,Enterprise,155000000.0
2bdrm Apartment in Ikate for sale,300.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,160000000.0
"4bdrm Duplex in Ochid, Lekki for sale",650.0,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,190000000.0
"Furnished 3bdrm Bungalow in Alafara, Ibadan for sale",500.0,3,4,Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,90000000.0
"4bdrm Duplex in Lekki Pearl Gardens, Sangotedo for sale",320.0,4,4,Semi Furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,Enterprise,150000000.0
Furnished 5bdrm Duplex in Dawaki Estate for sale,500.0,5,5,Furnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),False,350000000.0
"3bdrm Block of Flats in Osapa London, Lekki for sale",650.0,3,3,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,150000000.0
4bdrm Duplex in Omole Phase 1 for sale,650.0,4,4,Unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,350000000.0
4bdrm Duplex in Gbagada for sale,600.0,4,4,Unfurnished,"Lagos State, Gbagada",Gbagada,Lagos State,False,370000000.0
5bdrm Duplex in Gbagada for sale,500.0,5,5,Unfurnished,"Lagos State, Gbagada",Gbagada,Lagos State,False,420000000.0
5bdrm Duplex in Adeniyi Jones for sale,550.0,5,5,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,400000000.0
"4bdrm Bungalow in Kasumu, Ibadan for sale",600.0,4,4,Semi Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,65000000.0
Furnished 3bdrm Block of Flats in Alapere for sale,600.0,3,3,Furnished,"Kosofe, Ketu-Alapere",Ketu-Alapere,Lagos State,Enterprise,200000000.0
4bdrm Duplex in Omole Phase 2 for sale,450.0,4,4,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos State,False,290000000.0
"Furnished 4bdrm Duplex in A Private Estate, Lekki for sale",638.0,4,4,Furnished,"Lagos State, Lekki",Lekki,Lagos State,False,125000000.0
4bdrm Duplex in Ogudu Hra for sale,530.0,4,4,Unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,250000000.0
"3bdrm Block of Flats in Greenville, Alausa for sale",635.0,3,3,Unfurnished,"Ikeja, Alausa",Alausa,Lagos State,False,120000000.0
"3bdrm Block of Flats in Awuse, Ikeja for sale",450.0,3,3,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,290000000.0
"3bdrm Block of Flats in Alakuko, Alagbado for sale",634.0,3,3,Unfurnished,"Ifako-Ijaiye, Alagbado",Alagbado,Lagos State,False,85000000.0
"8bdrm Duplex in Agbama Housing, Umuahia for sale",465.0,8,8,Unfurnished,"Abia State, Umuahia",Umuahia,Abia State,Diamond,65000000.0
"Furnished 5bdrm Duplex in Harmony Estate, Port-Harcourt for sale",300.0,5,6,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
4bdrm Duplex in Port-Harcourt for sale,400.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,250000000.0
"5bdrm Duplex in Seman Estate, Sabon Lugbe for sale",800.0,5,7,Unfurnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Abuja (FCT),False,120000000.0
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",350.0,4,5,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,120000000.0
"3bdrm Block of Flats in Ogo Oluwa Estate, Akobo for sale",1672.0,3,4,Unfurnished,"Ibadan, Akobo",Akobo,Oyo State,Diamond,250000000.0
"Furnished 1bdrm Block of Flats in Brick City, Kubwa for sale",50.0,1,1,Furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,30000000.0
4bdrm Duplex in Lekki Phase 1 for sale,300.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP Gold,500000000.0
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,300.0,2,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP Gold,400000000.0
"4bdrm Duplex in Mountain View Estate, Dawaki for sale",500.0,4,5,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),False,175000000.0
"3bdrm Bungalow in Majesty Estate, Port-Harcourt for sale",300.0,3,4,Semi Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,100000000.0
3bdrm Apartment in Ilasan for sale,200.0,3,3,Semi Furnished,"Lekki, Ilasan",Ilasan,Lagos State,VIP Gold,260000000.0
"7bdrm Duplex in Gwarimpa Extension, Gwarinpa for sale",700.0,7,8,Unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),Diamond,550000000.0
"2bdrm Block of Flats in Unity Estate, Port-Harcourt for sale",930.0,2,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,185000000.0
Furnished 1bdrm Apartment in Lekki Phase 1 for sale,150.0,1,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP Gold,250000000.0
4bdrm Bungalow in Port-Harcourt for sale,465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,150000000.0
"4bdrm Duplex in Ivory Height Estate, Port-Harcourt for sale",1000.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
Furnished 4bdrm Duplex in Port-Harcourt for sale,465.0,4,5,Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,150000000.0
1bdrm Apartment in Victoria Island for sale,300.0,1,1,Semi Furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,VIP Gold,300000000.0
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",500.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,200000000.0
4bdrm Duplex in Port-Harcourt for sale,400.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,130000000.0
"4bdrm Duplex in Hilltop Estate, Owerri for sale",450.0,4,5,Unfurnished,"Imo State, Owerri",Owerri,Imo State,Diamond,250000000.0
Furnished 4bdrm Duplex in Maryland Ikeja for sale,500.0,4,4,Furnished,"Lagos State, Maryland",Maryland,Lagos State,False,450000000.0
5bdrm Duplex in Katampe Extension for sale,1200.0,5,6,Unfurnished,"Katampe, Katampe Extension",Katampe Extension,Abuja (FCT),False,250000000.0
5bdrm Duplex in Ikate for sale,400.0,5,5,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,1100000000.0
Furnished 5bdrm Duplex in Osapa London for sale,500.0,5,5,Furnished,"Lekki, Osapa london",Osapa london,Lagos State,False,550000000.0
Furnished 3bdrm Bungalow in Jericho for sale,500.0,3,3,Furnished,"Ibadan, Jericho",Jericho,Oyo State,VIP,75000000.0
5bdrm Duplex in Ikota for sale,315.0,5,5,Semi Furnished,"Lekki, Ikota",Ikota,Lagos State,VIP Gold,360000000.0
2bdrm Apartment in Ikate for sale,250.0,2,2,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,160000000.0
Furnished 6bdrm Duplex in Chevron for sale,500.0,6,6,Furnished,"Lekki, Chevron",Chevron,Lagos State,False,900000000.0
"4bdrm Duplex in News Engineering, Dawaki for sale",250.0,4,5,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),False,170000000.0
3bdrm Block of Flats in Gwarinpa Main for sale,1600.0,3,4,Semi Furnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),False,160000000.0
"4bdrm Duplex in Dejo Oyelese, Ibadan for sale",400.0,4,4,Semi Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,150000000.0
"3bdrm Block of Flats in Jankara Ijaiye, Ifako for sale",600.0,3,3,Semi Furnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,135000000.0
"3bdrm Bungalow in Taiye Mogana Akala, Ibadan for sale",600.0,3,4,Unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,30000000.0
"3bdrm Bungalow in Kuola, Ibadan for sale",500.0,3,4,Semi Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,VIP,50000000.0
4bdrm Duplex in Olokonla for sale,320.0,4,4,Semi Furnished,"Ajah, Olokonla",Olokonla,Lagos State,Enterprise,165000000.0
2bdrm Apartment in Ogombo for sale,330.0,2,2,Unfurnished,"Ajah, Ogombo",Ogombo,Lagos State,Premium,30000000.0
"Furnished 3bdrm Bungalow in Peak Park Estate, Ibeju for sale",400.0,3,4,Furnished,"Lagos State, Ibeju",Ibeju,Lagos State,Premium,80000000.0
"2bdrm Bungalow in Breden, Karu for sale",500.0,2,3,Semi Furnished,"Abuja (FCT), Karu",Karu,Abuja (FCT),False,40000000.0
5bdrm Duplex in Omole Phase 1 for sale,350.0,5,5,Semi Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,Enterprise,500000000.0
"4bdrm Duplex in Cowrie Creek Estate, Ikate for sale",600.0,4,4,Semi Furnished,"Lekki, Ikate",Ikate,Lagos State,Enterprise,1000000000.0
"2bdrm Bungalow in Eneka Link Road, Port-Harcourt for sale",250.0,2,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Enterprise,55000000.0
3bdrm Apartment in Anthony Lagos for sale,150.0,3,4,Semi Furnished,"Maryland, Anthony Village",Anthony Village,Lagos State,Enterprise,200000000.0
3bdrm Bungalow in Port-Harcourt for sale,200.0,3,3,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Enterprise,55000000.0
